country,2010,2011,2012,2013,2014,2015,2016
Sierra Leone,29.700000000000006,28.85,27.9,27.2,26.55,25.7,25.05
Singapore,16.599999999999998,16.599999999999998,16.55,16.7,16.7,16.7,16.75
Slovak Republic,30.75,30.700000000000006,30.6,30.45,30.4,30.45,30.4
Slovenia,24.05,23.9,23.55,23.3,23.05,22.8,22.55
South Africa,21.55,21.4,21.25,21.05,20.9,20.85,20.65
South Korea,27.15,26.5,25.85,25.25,24.7,24.1,23.55
Spain,32.75,32.15,31.6,31.0,30.450000000000006,29.75,29.4
Sri Lanka,14.55,14.4,14.2,14.15,13.9,13.9,13.65
Suriname,33.15,31.65,30.2,28.85,27.6,26.35,25.15
Sweden,23.05,22.3,21.55,20.85,20.1,19.5,18.85
Switzerland,27.75,27.3,27.05,26.75,26.4,26.15,25.75
Tanzania,17.3,16.849999999999998,16.45,16.1,15.6,15.35,15.0
Thailand,22.15,21.75,21.45,21.25,21.0,20.55,20.35
Timor-Leste,46.35,45.65,44.85,44.2,43.7,42.8,42.2
Togo,8.299999999999999,8.15,7.949999999999998,7.899999999999999,7.75,7.6,7.55
Tonga,30.65,30.25,29.75,29.45,28.9,28.55,28.1
Tunisia,32.2,32.35,32.5,32.7,33.1,33.300000000000004,33.45
Turkey,31.25,30.65,30.0,29.4,28.8,28.15,27.6
Uganda,12.3,11.9,11.45,11.05,10.75,10.4,10.05
Ukraine,33.15,32.7,32.25,31.9,31.4,30.950000000000006,30.45
United Arab Emirates,18.55,18.55,18.75,18.9,19.0,19.05,19.3
United Kingdom,27.3,26.35,25.55,24.65,23.8,23.15,22.35
United States,24.9,24.4,23.950000000000006,23.35,22.8,22.35,21.85
Uruguay,25.95,24.05,22.5,20.95,19.5,18.25,16.95
Uzbekistan,14.05,13.85,13.65,13.55,13.35,13.15,13.0
Vanuatu,22.5,21.8,21.200000000000006,20.45,19.9,19.25,18.65
Vietnam,24.35,24.05,24.1,23.85,23.7,23.7,23.45
Yemen,19.85,19.55,19.45,19.0,18.85,18.65,18.4
Zambia,15.35,15.0,14.85,14.55,14.4,14.1,13.9
Zimbabwe,16.75,16.7,16.6,16.5,16.35,16.25,16.15
