country,2010,2011,2012,2013,2014,2015,2016
El Salvador,62.89680000000002,63.375899999999994,63.80475000000002,64.28729999999999,64.76365,65.16865,65.538225
Eritrea,58.016999999999996,58.6085,59.13875,59.701875,60.2517,60.77100000000001,61.371300000000005
Estonia,48.88,49.659199999999984,50.3301,50.9773,51.56145,52.114825,52.675349999999995
Ethiopia,58.844924999999996,59.6875,60.451499999999996,61.152,61.70980000000001,62.15527500000001,62.58525
Fiji,51.08047500000001,51.81960000000001,52.3151,53.025,53.5946,54.09585,54.59875
Finland,61.1964,61.90967499999999,62.426249999999996,63.0644,63.6267,64.14907500000001,64.71392499999999
France,54.131,54.3456,54.568124999999995,54.858,54.999425,55.25685,55.432325
Gambia,49.371900000000004,49.769999999999996,50.0563,50.48725,50.787,51.0875,51.480625
Georgia,49.6221,49.874225,49.98125,50.232,50.590825,50.769749999999995,50.982
Germany,54.2277,54.529875000000004,54.873000000000005,55.17675,55.52752500000001,55.792400000000015,56.173500000000004
Ghana,58.12905,58.524375,58.8418,59.221375,59.53970000000001,59.8728,60.192
Greece,42.746199999999995,43.20165,43.8867,44.33175,44.737700000000004,45.37545,45.784375
Haiti,53.637499999999996,53.95665,54.275400000000005,54.487625,54.718,54.91655,55.1145
Hungary,48.904800000000016,49.62554999999999,50.13340000000001,50.823575,51.41177499999999,51.968050000000005,52.48819999999999
Iceland,66.1762,66.91217499999998,67.69145,68.432,69.17555,69.8796,70.544375
India,57.35232500000001,58.06529999999999,58.71522499999999,59.32500000000001,59.928,60.431400000000004,60.926875
Indonesia,42.89779999999999,42.92100000000001,42.7752,42.590625,42.33905000000001,42.11645,41.96115
Iran,64.565,65.21819999999998,65.79315,66.3264,66.8175,67.27250000000002,67.678
Ireland,57.2539,58.07655000000002,58.826375,59.5792,60.29445,60.934349999999995,61.65475
Israel,58.9336,59.36840000000001,59.800124999999994,60.237449999999995,60.630849999999995,61.0295,61.470400000000005
Italy,61.551199999999994,61.742625,62.10209999999997,62.33895,62.53162500000002,62.93137499999999,63.2079
Jamaica,61.9423,62.18662500000001,62.389799999999994,62.63095,62.793149999999976,63.03495,63.118
Japan,61.26310000000001,61.9595,62.48722500000001,63.14139999999999,63.7558,64.33019999999999,64.90934999999999
Kazakhstan,48.8117,49.515375000000006,50.21969999999999,50.825250000000004,51.358275000000006,51.89165,52.352574999999995
Kenya,55.0183,56.096000000000004,57.156000000000006,58.001775,58.730625,59.32964999999999,59.763999999999996
Kiribati,28.623299999999993,29.475,30.733600000000003,31.790124999999996,32.810125,33.87625,34.8738
Kuwait,59.208775,59.362875,59.52,59.63725,59.794650000000004,59.87475,60.03235
Kyrgyz Republic,50.1956,50.524875,50.8173,51.21355,51.4321,51.649649999999994,51.7945
Lao,42.66305,43.578,44.30200000000001,44.93599999999999,45.804,46.476299999999995,47.154875000000004
Latvia,44.358599999999996,44.67007500000001,45.02485,45.208749999999995,45.436,45.812250000000006,45.93564999999998
Lebanon,51.13605000000001,51.535199999999996,51.6265,52.153200000000005,52.25197499999999,52.58255,52.76140000000001
Lesotho,38.823750000000004,39.102000000000004,39.182,39.4237,39.410725,39.43275,39.375425
