country,2010,2011,2012,2013,2014,2015,2016
Japan,26.099999999999998,25.35,24.85,24.200000000000003,23.6,23.05,22.450000000000003
Kazakhstan,27.9,27.45,26.9,26.5,26.05,25.55,25.05
Kenya,12.600000000000001,12.350000000000001,12.0,11.649999999999999,11.35,11.05,10.799999999999999
Kiribati,56.2,55.0,53.15,51.650000000000006,50.25,48.75,47.4
Kuwait,20.15,20.049999999999997,20.0,19.95,19.9,19.9,19.85
Kyrgyz Republic,27.200000000000003,27.25,27.3,27.15,27.15,27.1,27.05
Lao,33.65,32.75,32.0,31.5,30.6,29.900000000000002,29.25
Latvia,38.9,38.849999999999994,38.7,38.7,38.6,38.3,38.3
Lebanon,34.900000000000006,34.6,34.65,34.15,34.150000000000006,33.9,33.8
Lesotho,23.5,24.0,24.65,25.05,25.849999999999998,26.5,27.15
Liberia,10.85,10.7,10.5,10.3,10.15,9.950000000000001,9.8
Lithuania,32.099999999999994,31.700000000000003,31.25,30.85,30.45,30.05,29.65
Luxembourg,27.1,26.45,25.85,25.200000000000003,24.65,24.1,23.45
Malawi,16.65,16.2,15.799999999999999,15.4,15.25,14.8,14.55
Malaysia,23.7,23.299999999999997,22.95,22.6,22.2,22.0,21.7
Maldives,31.0,30.400000000000002,30.099999999999998,29.700000000000003,29.3,28.9,28.55
Mali,12.5,12.4,12.35,12.35,12.35,12.299999999999999,12.3
Malta,28.700000000000003,28.099999999999998,27.7,27.05,26.549999999999997,26.0,25.549999999999997
Mauritius,22.95,22.95,22.7,22.5,22.349999999999998,22.15,21.950000000000003
Mexico,17.2,16.700000000000003,16.1,15.65,15.100000000000001,14.600000000000001,14.149999999999999
Moldova,24.900000000000002,24.950000000000003,25.0,25.15,25.2,25.2,25.25
Mongolia,28.099999999999998,27.75,27.3,27.0,26.7,26.55,26.0
Montenegro,48.35,47.85,47.45,47.0,46.7,46.150000000000006,45.95
Morocco,21.25,21.65,22.0,22.55,22.9,23.5,23.95
Mozambique,19.45,18.95,18.5,18.15,17.7,17.45,17.1
Myanmar,24.45,23.75,23.150000000000002,22.45,21.95,21.35,20.75
Namibia,22.0,22.0,21.950000000000003,21.95,21.950000000000003,22.05,21.950000000000003
Nauru,47.150000000000006,45.8,44.5,43.25,42.15,40.95,39.95
Nepal,27.75,26.95,26.1,25.4,24.85,24.15,23.65
Netherlands,29.700000000000003,28.9,28.4,27.7,27.049999999999997,26.45,25.85
New Zealand,20.05,19.2,18.5,17.85,17.2,16.5,16.0
Niger,7.199999999999999,7.25,7.35,7.45,7.5,7.6499999999999995,7.75
Nigeria,6.25,6.15,6.050000000000001,6.0,5.85,5.75,5.7
Norway,26.95,25.5,24.4,23.3,22.2,21.2,20.15
Oman,7.6,7.65,7.75,7.85,7.9,8.0,8.05
Pakistan,20.95,20.7,20.549999999999997,20.35,20.15,19.95,19.75
Palau,19.200000000000003,18.5,17.75,17.049999999999997,16.4,15.75,15.2
Panama,8.5,8.1,7.6,7.25,6.85,6.5,6.15
